race_id,goal_order, start_number, horse_name, horse_age, weight,jockey_id,single_odds,hourse_weight,weight_change
202203020101,1,6,バルンストック,5,57.0,01196,3.8,474,-10,1.7
202203020101,2,10,アポロファントム,5,60.0,00727,18.9,452,-4,6.0
202203020101,3,8,ドラウプニル,6,60.0,01149,4.7,488,+8,1.85
202203020101,4,2,ブラックジャッカル,4,60.0,01101,19.1,462,0,5.0
202203020101,5,12,カツジ,7,60.0,01035,10.0,492,-14,4.15
202203020101,6,4,プレイヤーサムソン,9,60.0,01023,39.1,470,-20,6.65
202203020101,7,5,アイファーチーター,4,60.0,01068,198.7,466,0,50.95
202203020101,8,7,マイネルグロース,4,60.0,01123,20.1,460,-8,6.3
202203020101,9,9,ヴィクトリーレーン,5,60.0,01059,21.1,450,-22,5.75
202203020101,10,1,ピュアヒカリ,6,60.0,01120,11.1,450,-2,3.1
202203020101,11,3,マイネルバッカーノ,6,60.0,01061,82.0,498,-8,20.799999999999997
202203020102,1,13,ラートリー,3,54.0,01075,2.1,438,-4,1.2000000000000002
202203020102,2,12,キットクル,3,54.0,01153,11.8,444,-12,3.0999999999999996
202203020102,3,10,イモータルフェイム,3,54.0,01179,4.3,454,-12,1.7
202203020102,4,3,リーディングラン,3,54.0,00733,63.1,468,-10,10.5
202203020102,5,6,ソニンクヴァース,3,54.0,01169,9.6,484,-8,2.55
202203020102,6,8,エメラルセシリア,3,52.0,01188,8.6,420,-14,2.5
202203020102,7,5,ヨーコマイラヴ,3,54.0,01162,195.7,456,-12,28.049999999999997
202203020102,8,11,ニケテア,3,51.0,01197,90.3,446,-4,13.799999999999999
202203020102,9,15,ネイチャーミヤビ,3,52.0,01164,12.0,498,-12,3.0999999999999996
202203020102,10,9,キタノズーナクア,3,54.0,00689,28.8,448,-6,7.75
202203020102,11,4,ファディッシュ,3,54.0,01077,64.5,434,-2,11.3
202203020102,12,1,ソメット,3,51.0,01183,103.5,416,+12,21.1
202203020102,13,7,マイスイートハート,3,54.0,01117,30.8,494,-6,5.699999999999999
202203020102,14,2,カハラオプナ,3,54.0,01092,65.8,490,-6,13.950000000000001
202203020102,15,14,マリノヴィーナス,3,51.0,01184,45.6,460,0,10.6
202203020103,1,8,サラフィエル,3,56.0,01161,2.1,436,+2,1.25
202203020103,2,5,ヤサカシュエット,3,54.0,01169,38.8,472,+2,8.05
202203020103,3,14,クロシェノワール,3,51.0,01184,16.3,500,+16,4.4
202203020103,4,13,サンマルディライト,3,56.0,05386,5.6,456,0,1.75
202203020103,5,1,サイモンソーラン,3,56.0,00733,15.3,474,-6,3.3
202203020103,6,10,ジャスティンダイヤ,3,54.0,01188,23.2,490,0,5.8
202203020103,7,9,キタノポーションズ,3,54.0,01029,155.8,402,-8,16.4
202203020103,8,15,ウェルシュゴールド,3,54.0,01009,123.1,474,+6,18.95
202203020103,9,12,チュラーダ,3,54.0,05212,21.8,400,+2,5.3
202203020103,10,2,ローゼンヴォルフ,3,56.0,01158,76.1,508,-8,17.4
202203020103,11,7,ガンガディン,3,56.0,01179,14.6,466,+6,3.0
202203020103,12,4,アオイトランプ,3,56.0,01162,179.2,470,+4,40.9
202203020103,13,11,ブレスク,3,56.0,00422,26.6,510,-12,5.4
202203020103,14,6,フィアーミー,3,56.0,01143,228.6,506,0,54.4
202203020103,15,3,マサノカヴァリエ,3,56.0,01122,4.3,486,+10,1.9
202203020104,1,10,ナギサ,4,58.0,01139,5.9,496,0,2.1
202203020104,2,5,マイネルパラディ,8,60.0,01067,15.2,464,-20,4.0
202203020104,3,9,リバーシブルレーン,6,60.0,01059,8.6,438,-8,2.4
202203020104,4,6,ショウナンサルヴォ,4,60.0,01035,7.6,500,-12,2.4
202203020104,5,2,ドリームソルジャー,8,60.0,00727,2.6,488,-2,1.5
202203020104,6,7,フィードバック,6,60.0,01113,38.3,490,-6,7.85
202203020104,7,11,テイエムコンドル,11,60.0,01149,13.6,460,-8,3.5
202203020104,8,1,クライムメジャー,8,60.0,01063,17.1,520,-6,4.95
202203020104,9,4,パリカラノテガミ,11,62.0,01120,17.0,446,-16,4.45
202203020104,10,3,ポルタフォリオ,4,60.0,01066,152.6,496,-2,31.55
202203020104,11,12,メイショウギガース,8,60.0,01101,74.1,472,-16,17.35
202203020104,12,8,アルトリウス,8,60.0,01068,113.7,466,-6,16.95
202203020104,13,13,スズカメジャー,8,60.0,00691,6.7,510,-6,2.3
202203020105,1,13,ナックブレイブ,2,54.0,01162,12.7,470,0,2.95
202203020105,2,4,ブーケファロス,2,52.0,01188,23.8,426,0,4.55
202203020105,3,2,シナロアテソーロ,2,54.0,05386,7.5,442,0,1.95
202203020105,4,7,キタウイング,2,54.0,01135,38.5,432,0,7.1
202203020105,5,10,ストリートジャガー,2,54.0,01150,24.2,482,0,4.55
202203020105,6,8,ビルカール,2,54.0,00641,52.0,454,0,9.7
202203020105,7,6,グラスヴィガー,2,54.0,01092,1.9,460,0,1.2000000000000002
202203020105,8,5,サンセットベリー,2,51.0,01184,138.4,438,0,32.5
202203020105,9,15,ネバレチュゴー,2,54.0,01085,71.0,502,0,10.95
202203020105,10,11,ニシノメラーキ,2,54.0,00422,75.1,428,0,11.55
202203020105,11,12,クリイロ,2,54.0,01122,5.5,394,0,1.9
202203020105,12,9,リュウノステルス,2,54.0,01179,11.7,426,0,2.65
202203020105,13,1,テイエムリオンディ,2,54.0,01029,127.6,490,0,26.0
202203020105,14,14,シェイクオンイット,2,54.0,01161,174.2,466,0,31.45
202203020105,15,3,ハスノミ,2,51.0,01183,184.4,424,0,35.0
202203020106,1,9,バグラダス,2,54.0,05386,2.3,468,0,1.3
202203020106,2,4,トモジャミ,2,54.0,01092,7.5,498,0,2.05
202203020106,3,10,リリージェーン,2,51.0,01184,17.9,418,0,3.1999999999999997
202203020106,4,11,セイウンダマシイ,2,54.0,00422,7.5,456,0,2.1
202203020106,5,12,サノノエスポ,2,54.0,00689,51.1,422,0,7.699999999999999
202203020106,6,8,テンホワイトラブ,2,54.0,01158,30.4,494,0,5.55
202203020106,7,6,スムースベルベット,2,54.0,01134,3.2,484,0,1.4
202203020106,8,1,ハンデンメシアー,2,51.0,01197,22.2,488,0,3.75
202203020106,9,3,ダイチストリーム,2,52.0,01188,101.0,452,0,14.35
202203020106,10,5,キタノマリリン,2,54.0,01150,72.2,426,0,13.75
202203020106,11,7,アオシロツルバミ,2,51.0,01183,168.7,374,0,30.4
202203020106,12,2,コーヒーカフェ,2,54.0,00726,116.6,442,0,16.65
202203020107,1,6,イヴニングスター,3,56.0,01075,3.2,504,+10,1.5
202203020107,2,4,フォーグッド,3,56.0,05386,2.3,524,+16,1.25
202203020107,3,7,シャドウマッドネス,3,53.0,01184,6.3,434,-4,1.9
202203020107,4,8,トリプルスリル,3,56.0,01162,7.5,480,+2,1.8499999999999999
202203020107,5,5,ブキャナンテソーロ,3,54.0,01188,15.3,488,-8,3.75
202203020107,6,3,ジュンバレット,3,56.0,01117,235.8,456,-4,36.45
202203020107,7,9,テイエムクロマル,3,56.0,01029,119.6,470,-6,17.8
202203020107,8,1,ミヤコプレジール,3,56.0,05212,7.5,536,+10,2.3
202203020107,9,10,ナイキグロ,3,56.0,01009,45.9,476,+10,6.8500000000000005
202203020107,10,2,ブランデウェイン,3,56.0,01135,180.6,476,+4,28.75
202203020108,1,11,メデタシメデタシ,5,55.0,01161,38.7,452,-18,7.45
202203020108,2,7,ネイリッカ,3,50.0,01188,1.7,448,0,1.1
202203020108,3,10,ラッキーミーティア,3,52.0,01118,5.6,454,-4,2.0
202203020108,4,3,クーシフォン,3,52.0,01092,9.7,450,+4,2.4000000000000004
202203020108,5,6,メテオダヴリル,4,52.0,01197,5.7,500,-2,2.3
202203020108,6,4,キタノポケット,5,55.0,01029,98.1,394,-10,17.950000000000003
202203020108,7,9,アテンフェアリー,6,55.0,01162,43.2,480,+2,6.55
202203020108,8,8,モモエチャン,4,55.0,01009,94.7,428,-34,19.9
202203020108,9,1,ハイスピリッツ,4,52.0,01183,151.4,470,-3,28.5
202203020108,10,2,ショウナンワオン,3,52.0,01158,23.9,448,-10,7.6
202203020108,11,12,ルージュフェリーク,4,55.0,01169,14.5,444,-8,3.1
202203020108,12,5,レッドカルム,5,55.0,00689,25.7,532,+2,6.2
202203020109,1,1,ロンギングエーオ,3,54.0,01077,7.6,486,0,2.35
202203020109,2,6,グランシエロ,3,54.0,01122,1.7,516,+2,1.1
202203020109,3,7,スカイテラス,5,57.0,01179,12.1,484,-10,2.95
202203020109,4,5,ネイチャーシップ,4,57.0,01158,9.9,492,-8,2.4000000000000004
202203020109,5,2,レベンディス,5,57.0,01135,130.2,484,-10,24.15
202203020109,6,8,エレガントチャーム,5,55.0,01075,18.0,470,-8,4.6
202203020109,7,9,ヴィブラツィオーネ,3,54.0,05386,5.3,468,0,2.0
202203020109,8,4,ゴールデンアワー,3,52.0,00422,16.8,486,-4,3.95
202203020109,9,3,マイネルアルザス,3,54.0,01085,108.6,464,0,17.5
202203020109,10,10,アクアテラリウム,3,54.0,01150,32.4,472,-6,9.9
202203020110,1,3,イリマ,4,55.0,01179,7.8,450,-4,2.15
202203020110,2,5,サンカルパ,3,52.0,01092,1.9,482,+8,1.2000000000000002
202203020110,3,9,ワーフデール,3,52.0,01188,6.0,458,-2,1.95
202203020110,4,10,アラビアンナイト,4,55.0,01075,27.6,446,0,5.8
202203020110,5,7,ブルームスベリー,5,55.0,05386,9.8,454,-10,2.35
202203020110,6,2,エレヴァテッツァ,5,55.0,05212,6.0,508,+4,2.0
202203020110,7,8,ヴェルザスカ,5,55.0,01169,25.2,442,-2,5.55
202203020110,8,6,ヤマニンプレシオサ,5,55.0,00689,116.1,476,-4,20.0
202203020110,9,11,レアシャンパーニュ,4,55.0,01122,20.3,454,-6,4.1
202203020110,10,1,ライクアジュエリー,5,55.0,00733,165.2,450,-4,37.75
202203020110,11,4,マッチレスノヴェル,5,55.0,01150,32.5,478,-6,7.4
202203020111,1,1,サトノファビュラス,5,55.0,01117,7.3,418,-8,2.3
202203020111,2,10,ジャスパージャック,6,57.0,01085,5.4,528,-2,1.9000000000000001
202203020111,3,2,ショウナンバービー,5,55.0,01188,13.2,504,-2,3.75
202203020111,4,6,エレヴァート,5,55.0,05212,20.7,456,+6,4.9
202203020111,5,8,ロジーナ,5,55.0,01179,6.6,466,-2,2.0
202203020111,6,3,オシリスブレイン,5,57.0,01161,14.1,486,-8,3.35
202203020111,7,11,バルトリ,5,55.0,01075,4.8,462,+8,2.15
202203020111,8,7,サンラモンバレー,7,57.0,01150,107.8,490,-8,14.05
202203020111,9,9,ワンスカイ,5,57.0,05386,2.8,516,+2,1.4500000000000002
202203020111,10,4,ナンヨーアミーコ,9,57.0,01118,151.1,426,-4,18.5
